GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
 "01059","Franklin, AL",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",776379,761447,783219,855515,880433,856617,871075,854257,813289,850532,904670,874705,915500,854449,859169,855153,912625,949820,948279
 "01059","Franklin, AL",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",88.759,87.052,89.541,97.806,100.655,97.932,99.585,97.662,92.979,97.236,103.426,100.000,104.664,97.684,98.224,97.765,104.335,108.587,108.411
 "01059","Franklin, AL",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",602688,598797,631218,714189,741056,729424,762864,763147,749923,795979,868435,874705,926596,879940,902925,903616,980674,1037482,1049427
 "01061","Geneva, AL",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",476668,486749,486306,487641,516006,524619,533282,531699,520712,517078,472900,472030,496533,493014,517650,525195,502784,509159,534804
 "01061","Geneva, AL",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",100.983,103.118,103.024,103.307,109.316,111.141,112.976,112.641,110.313,109.543,100.184,100.000,105.191,104.446,109.665,111.263,106.515,107.866,113.299
 "01061","Geneva, AL",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",358919,367775,380321,401379,423874,440295,476306,484114,473553,481640,460660,472030,510088,510541,535590,540564,530829,547413,589539
 "01063","Greene, AL",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",301018,337655,346916,377668,388764,391519,377404,325654,310315,305745,336017,287090,292489,277734,249633,239982,215082,219281,244098
 "01063","Greene, AL",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",104.852,117.613,120.839,131.551,135.416,136.375,131.459,113.433,108.090,106.498,117.043,100.000,101.881,96.741,86.953,83.591,74.918,76.381,85.025
 "01063","Greene, AL",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",207073,227450,246858,281062,302594,320241,324435,280901,272254,275412,328752,287090,295250,285313,257499,242224,224580,235709,264592
 "01065","Hale, AL",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",275086,292299,323168,335394,346964,384820,336291,324915,316421,324207,312804,304502,303338,288573,291515,302538,283138,265090,272988
 "01065","Hale, AL",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",90.339,95.992,106.130,110.145,113.945,126.377,110.439,106.703,103.914,106.471,102.726,100.000,99.617,94.769,95.735,99.355,92.984,87.057,89.650
